Date,Latitude,Longitude,Altitude,NO2,PM2.5,O3,PM10,temperature_2m (°C),relative_humidity_2m (%),dew_point_2m (°C),apparent_temperature (°C),precipitation (mm),rain (mm),snowfall (cm),surface_pressure (hPa),cloud_cover (%),wind_speed_10m (km/h),wind_direction_10m (°),soil_temperature_0_to_7cm (°C),soil_moisture_0_to_7cm (m³/m³),is_day (),PM2.5/N02,PM2.5/03,Weekend,Season_Autumn,Season_Spring,Season_Summer,Season_Winter
2023-08-27 23:35:00+00:00,46.234818,15.267305,240.0,3.044522437723423,2.995732273553991,56.84193649337113,3.4339872044851463,21.8,80.0,17.601108878962588,16.841015540105072,0.0,0.0,0.0,6.883360122147415,75.0,6.8,342.0,13.631801799718634,-1.3862943611198906,0.0,-0.048790164169432056,-1.0445420982953255,1,False,False,True,False
2023-08-28 00:35:00+00:00,46.234818,15.267305,240.0,2.302585092994046,2.995732273553991,52.0,3.4339872044851463,20.9,80.0,16.831556686198205,15.905184719311624,0.0,0.0,0.0,6.883462586413092,31.0,8.2,15.0,13.383423677233838,-1.374365790254617,0.0,0.6931471805599453,-0.9555114450274363,0,False,False,True,False
2023-08-28 01:35:00+00:00,46.234818,15.267305,240.0,2.1972245773362196,2.9444389791664403,47.0,3.332204510175204,19.6,82.0,15.965276307922261,15.086844878655754,0.0,0.0,0.0,6.883872338518805,32.0,5.8,30.0,13.233817767267182,-1.374365790254617,0.0,0.7472144018302211,-0.9057086225436182,0,False,False,True,False
2023-08-28 02:35:00+00:00,46.234818,15.267305,240.0,2.3978952727983707,2.995732273553991,35.0,3.367295829986474,19.2,79.0,15.098401742538282,14.57967823742374,0.0,0.0,0.0,6.885202874511625,52.0,6.6,351.0,12.983486780341304,-1.3704210119636004,0.0,0.5978370007556204,-0.5596157879354228,0,False,False,True,False
2023-08-28 03:35:00+00:00,46.234818,15.267305,240.0,2.5649493574615367,2.9444389791664403,38.0,3.258096538021482,18.7,79.0,14.616536059339222,14.133561229962552,0.0,0.0,0.0,6.88479366734479,40.0,6.2,36.0,12.832683495838838,-1.3704210119636004,0.0,0.3794896217049037,-0.6931471805599453,0,False,False,True,False
2023-08-28 04:35:00+00:00,46.234818,15.267305,240.0,2.772588722239781,3.1780538303479458,24.0,3.4965075614664802,18.3,81.0,14.616536059339222,14.069646176215056,0.0,0.0,0.0,6.88479366734479,47.0,4.7,4.0,12.580312240804906,-1.3704210119636004,0.0,0.4054651081081644,0.0,0,False,False,True,False
2023-08-28 05:35:00+00:00,46.234818,15.267305,240.0,1.791759469228055,2.833213344056216,56.0,3.258096538021482,18.9,75.0,14.038033198032176,14.005684331481884,0.0,0.0,0.0,6.885407415318229,35.0,7.3,351.0,12.478995493566135,-1.3704210119636004,1.0,1.0414538748281612,-1.1921383466789333,0,False,False,True,False
2023-08-28 06:35:00+00:00,46.234818,15.267305,240.0,1.791759469228055,2.1972245773362196,57.0,2.8903717578961645,19.7,69.0,13.55571973631694,14.388758760921883,0.0,0.0,0.0,6.884691339383585,32.0,8.0,8.0,12.681417363008777,-1.3704210119636004,1.0,0.4054651081081644,-1.845826690498331,0,False,False,True,False
2023-08-28 07:35:00+00:00,46.234818,15.267305,240.0,2.3978952727983707,1.791759469228055,49.0,2.3978952727983707,20.6,64.0,13.073191729176887,14.57967823742374,0.0,0.0,0.0,6.884179542453431,32.0,10.5,27.0,12.983486780341304,-1.3704210119636004,1.0,-0.6061358035703156,-2.1000608288825715,0,False,False,True,False
2023-08-28 08:35:00+00:00,46.234818,15.267305,240.0,2.4849066497880004,1.791759469228055,50.0,2.70805020110221,22.0,60.0,13.55571973631694,15.46541193643064,0.0,0.0,0.0,6.883872338518805,15.0,12.1,23.0,13.433195123306021,-1.374365790254617,1.0,-0.6931471805599453,-2.120263536200091,0,False,False,True,False
